"date","age_group","age_low","age_up","region","n_positive","total_samples","assay"
"2020-09-27","15_64",15,64,"east_of_england",0,7,"euro_immun"
"2020-09-28","15_64",15,64,"east_of_england",0,6,"euro_immun"
"2020-10-07","15_64",15,64,"east_of_england",0,13,"euro_immun"
"2020-10-08","15_64",15,64,"east_of_england",0,15,"euro_immun"
"2020-10-14","15_64",15,64,"east_of_england",0,5,"euro_immun"
"2020-10-16","15_64",15,64,"east_of_england",26,521,"euro_immun"
"2020-10-17","15_64",15,64,"east_of_england",3,91,"euro_immun"
"2020-10-18","15_64",15,64,"east_of_england",17,255,"euro_immun"
"2020-10-21","15_64",15,64,"east_of_england",0,15,"euro_immun"
"2020-10-23","15_64",15,64,"east_of_england",2,22,"euro_immun"
"2020-10-31","15_64",15,64,"east_of_england",7,116,"euro_immun"
"2020-11-01","15_64",15,64,"east_of_england",6,113,"euro_immun"
"2020-11-07","15_64",15,64,"east_of_england",1,12,"euro_immun"
"2020-11-08","15_64",15,64,"east_of_england",13,207,"euro_immun"
"2020-11-15","15_64",15,64,"east_of_england",19,178,"euro_immun"
"2020-11-21","15_64",15,64,"east_of_england",12,125,"euro_immun"
"2020-11-22","15_64",15,64,"east_of_england",5,112,"euro_immun"
"2020-11-27","15_64",15,64,"east_of_england",7,175,"euro_immun"
"2020-11-28","15_64",15,64,"east_of_england",1,8,"euro_immun"
"2020-11-29","15_64",15,64,"east_of_england",0,3,"euro_immun"
"2020-11-30","15_64",15,64,"east_of_england",0,1,"euro_immun"
"2020-12-04","15_64",15,64,"east_of_england",18,251,"euro_immun"
"2020-12-06","15_64",15,64,"east_of_england",3,46,"euro_immun"
"2020-12-12","15_64",15,64,"east_of_england",0,3,"euro_immun"
"2020-12-14","15_64",15,64,"east_of_england",13,214,"euro_immun"
"2020-12-19","15_64",15,64,"east_of_england",2,99,"euro_immun"
"2020-12-20","15_64",15,64,"east_of_england",7,150,"euro_immun"
"2020-12-31","15_64",15,64,"east_of_england",0,13,"euro_immun"
"2021-01-04","15_64",15,64,"east_of_england",16,219,"euro_immun"
"2021-01-10","15_64",15,64,"east_of_england",0,6,"euro_immun"
"2021-01-11","15_64",15,64,"east_of_england",26,237,"euro_immun"
"2021-01-16","15_64",15,64,"east_of_england",3,126,"euro_immun"
"2021-01-17","15_64",15,64,"east_of_england",16,181,"euro_immun"
"2021-01-24","15_64",15,64,"east_of_england",0,4,"euro_immun"
"2021-01-25","15_64",15,64,"east_of_england",23,245,"euro_immun"
"2021-01-31","15_64",15,64,"east_of_england",31,187,"euro_immun"
"2021-02-01","15_64",15,64,"east_of_england",0,3,"euro_immun"
"2021-02-06","15_64",15,64,"east_of_england",22,130,"euro_immun"
"2021-02-07","15_64",15,64,"east_of_england",20,116,"euro_immun"
"2021-02-13","15_64",15,64,"east_of_england",20,125,"euro_immun"
"2021-02-14","15_64",15,64,"east_of_england",22,117,"euro_immun"
"2021-02-21","15_64",15,64,"east_of_england",0,2,"euro_immun"
"2021-02-22","15_64",15,64,"east_of_england",42,216,"euro_immun"
"2020-03-27","65_119",65,119,"east_of_england",0,1,"euro_immun"
"2020-04-09","65_119",65,119,"east_of_england",0,3,"euro_immun"
"2020-04-24","65_119",65,119,"east_of_england",0,3,"euro_immun"
"2020-05-03","65_119",65,119,"east_of_england",1,1,"euro_immun"
"2020-05-07","65_119",65,119,"east_of_england",0,36,"euro_immun"
"2020-05-08","65_119",65,119,"east_of_england",3,9,"euro_immun"
"2020-05-10","65_119",65,119,"east_of_england",0,11,"euro_immun"
"2020-05-15","65_119",65,119,"east_of_england",0,1,"euro_immun"
"2020-05-21","65_119",65,119,"east_of_england",0,1,"euro_immun"
"2020-05-22","65_119",65,119,"east_of_england",0,2,"euro_immun"
"2020-05-28","65_119",65,119,"east_of_england",2,34,"euro_immun"
"2020-05-29","65_119",65,119,"east_of_england",2,35,"euro_immun"
"2020-06-05","65_119",65,119,"east_of_england",0,2,"euro_immun"
"2020-06-15","65_119",65,119,"east_of_england",0,2,"euro_immun"
"2020-06-19","65_119",65,119,"east_of_england",0,1,"euro_immun"
